"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",5388,4206,2646,31,59.0084752668894,8984,2632,43,336,63,67
"2","ALEXANDER",1532,2410,1357,9,58.1627731725697,4967,240,4,52,3,12
"3","ALLEGHANY",817,787,477,3,62.5134357005758,2014,25,2,38,2,1
"4","ANSON",2456,372,392,2,57.6477343265053,1154,1713,2,334,5,6
"5","ASHE",1191,1486,922,12,61.8803655497092,3484,22,6,71,2,7
"6","AVERY",269,1053,471,1,60.6259754738016,1735,5,2,42,3,1
"7","BEAUFORT",2890,2420,1678,17,60.0212705210564,5226,1549,7,168,18,3
"8","BERTIE",2053,222,373,1,60.4767836919592,879,1680,5,74,5,4
"9","BLADEN",3463,806,1407,7,55.9616399788844,3235,2290,57,55,14,3
"10","BRUNSWICK",6914,9310,7275,56,63.322097219274,20731,1976,47,557,36,59
"11","BUNCOMBE",26908,12371,16910,178,56.5694644029308,50348,2731,84,1812,259,321
"12","BURKE",5141,5645,3555,37,58.7808457365419,13170,900,15,120,17,72
"13","CABARRUS",6000,7397,4580,44,56.3479829088286,13812,3156,25,484,81,199
"14","CALDWELL",3619,6674,3057,42,58.4810334528076,12405,727,11,131,33,21
"15","CAMDEN",506,408,526,9,57.2153209109731,1146,253,5,23,5,8
"16","CARTERET",3873,6688,3995,32,60.1190704688785,13426,611,23,370,35,40
"17","CASWELL",1739,591,548,2,59.5559027777778,1570,1230,4,49,5,7
"18","CATAWBA",6987,12580,6770,56,57.8175273746827,23304,2146,21,443,52,169
"19","CHATHAM",8450,3583,5482,41,60.0849851902483,14085,2222,25,772,69,153
"20","CHEROKEE",1097,1980,1179,15,61.3589323343479,4145,29,22,37,7,10
"21","CHOWAN",1209,672,642,4,61.4538979026514,1815,666,1,25,3,7
"22","CLAY",559,1083,752,5,61.8611921634014,2349,2,3,36,1,2
"23","CLEVELAND",6163,4215,2646,23,58.3616923430674,9209,3461,14,253,27,25
"24","COLUMBUS",3418,1090,1058,3,59.0237026396121,3396,1983,93,49,8,9
"25","CRAVEN",5238,4891,3276,33,60.0810388450662,9821,3047,23,246,40,122
"26","CUMBERLAND",20909,9049,8120,90,54.4949696080486,16664,17737,307,1298,361,401
"27","CURRITUCK",600,961,1050,10,58.154521175124,2368,163,9,42,10,7
"28","DARE",2100,1718,1953,24,59.8165660051769,5518,131,4,80,10,13
"29","DAVIDSON",4851,10797,4094,35,58.5751125044243,17781,1474,35,274,28,53
"30","DAVIE",1003,2267,1151,11,59.0509927797834,3908,376,5,84,6,9
"31","DUPLIN",2761,1389,1061,4,58.8778523489933,3119,1895,7,129,13,7
"32","DURHAM",39288,7281,15700,176,51.7297782048202,34433,21957,142,2574,674,1364
