"","County_desc","DEM","REP","UNA","LIB","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",10711,8822,2750,29,17872,3104,31,132,33,42
"2","ALEXANDER",2101,2859,728,2,5142,225,3,7,5,10
"3","ALLEGHANY",1201,656,221,1,1960,32,1,3,0,1
"4","ANSON",2595,413,195,0,1795,1248,4,11,3,0
"5","ASHE",1518,1431,397,5,3197,16,1,12,0,6
"6","AVERY",233,1057,275,1,1434,0,1,6,1,1
"7","BEAUFORT",2450,2121,835,9,4436,598,4,28,4,2
"8","BERTIE",1684,194,155,1,967,939,2,9,3,0
"9","BLADEN",2394,572,335,3,2260,850,12,11,5,6
"10","BRUNSWICK",6152,6537,2533,13,13035,1305,20,84,10,9
"11","BUNCOMBE",22657,15477,8491,108,41765,1432,40,544,105,77
"12","BURKE",5177,4066,1529,11,9574,624,7,23,6,28
"13","CABARRUS",5269,7218,2104,20,11942,1427,19,101,23,19
"14","CALDWELL",4981,6734,1613,16,12157,554,5,81,8,3
"15","CAMDEN",715,341,219,0,1042,129,2,6,1,1
"16","CARTERET",3397,4341,1564,5,8313,323,5,55,8,18
"17","CASWELL",1437,417,249,1,1188,791,2,10,1,1
"18","CATAWBA",7376,11996,3539,30,20265,1320,6,69,20,82
"19","CHATHAM",6553,3174,1915,23,8986,1748,9,71,23,31
"20","CHEROKEE",1223,1713,493,7,3278,21,17,10,2,5
"21","CHOWAN",795,447,158,6,1016,284,2,5,2,2
"22","CLAY",887,1132,440,3,2369,3,3,4,4,0
"23","CLEVELAND",4280,2549,797,6,5527,1646,8,25,11,16
"24","COLUMBUS",4483,1057,543,2,4024,1686,113,4,4,2
"25","CRAVEN",7791,7223,2474,17,13284,3058,24,86,29,44
"26","CUMBERLAND",13804,8749,4016,46,13776,9547,169,349,138,190
"27","CURRITUCK",510,475,315,3,1164,33,6,6,3,1
"28","DARE",2079,1442,1014,13,4181,76,5,26,7,1
"29","DAVIDSON",5894,9421,1799,28,15298,889,27,20,4,14
"30","DAVIE",1245,3030,708,3,4325,287,2,3,5,5
"31","DUPLIN",3093,1261,597,4,3344,1336,4,46,6,1
"32","DURHAM",32241,9752,8044,119,28871,14918,56,733,218,504
"33","EDGECOMBE",4086,726,231,1,2083,2565,0,15,9,4
"34","FRANKLIN",2848,1567,530,7,3218,1297,11,37,7,5
"35","GASTON",6630,6909,1857,13,12606,1957,11,61,11,31
"36","GATES",478,119,104,0,381,270,1,5,1,1
"37","GRAHAM",540,551,136,1,1172,0,19,6,2,0
"38","GRANVILLE",3082,1172,463,3,2945,1384,6,35,14,5
"39","GREENE",1270,353,144,3,1193,458,0,3,2,1
"40","HALIFAX",2368,499,238,1,1377,1470,39,16,4,10
"41","HARNETT",3848,3256,774,10,5943,1198,34,61,5,19
"42","HAYWOOD",5078,3196,1237,15,8976,68,6,18,3,3
"43","HENDERSON",3100,6375,2856,20,11295,127,11,221,14,23
"44","HERTFORD",1949,260,112,2,896,1266,27,1,1,4
"45","HOKE",2616,806,528,8,1900,1503,136,14,13,18
"46","HYDE",172,37,32,1,199,28,0,3,0,0
"47","IREDELL",5387,7183,1890,19,12066,1408,14,66,15,20
"48","JACKSON",2646,1551,853,15,4473,36,169,42,6,23
"49","JOHNSTON",4763,4711,1410,16,8356,1614,12,25,15,9
"50","JONES",669,216,122,1,670,274,1,3,0,1
"51","LEE",4770,2740,971,9,6590,1317,17,36,12,10
"52","LENOIR",4945,2198,550,4,5376,1840,6,26,10,2
"53","LINCOLN",3098,3492,1028,8,6551,556,5,38,7,6
"54","MACON",2360,2879,1051,12,6030,22,4,31,7,5
"55","MADISON",1365,953,388,6,2544,2,3,19,1,1
"56","MARTIN",1727,448,168,1,1437,777,1,6,1,0
"57","MCDOWELL",2740,2394,849,10,5571,136,4,5,4,10
"58","MITCHELL",408,1896,525,1,2706,3,0,16,3,0
"59","MONTGOMERY",974,677,205,2,1504,221,3,9,1,7
"60","MOORE",4222,6322,2280,12,11109,1085,27,24,10,11
"61","NASH",8057,5354,1075,11,9906,3575,32,41,24,11
"62","NEW HANOVER",8686,8951,3264,55,17033,1938,30,152,30,42
"63","NORTHAMPTON",1426,157,178,1,876,798,1,9,1,1
"64","ONSLOW",3826,4080,1592,22,6616,1907,25,183,33,44
"65","ORANGE",20012,5981,7174,118,24341,2907,31,424,166,492
"66","PAMLICO",1383,806,322,2,1869,479,5,19,1,2
"67","PASQUOTANK",4073,1656,1017,6,4678,1584,10,37,10,21
"68","PENDER",2224,1702,572,7,3390,751,10,54,6,4
"69","PERQUIMANS",852,569,276,2,1335,283,1,2,0,0
"70","PERSON",5094,2099,963,6,5994,1721,33,31,7,10
"71","PITT",7683,4839,1740,17,9748,3170,18,83,25,38
"72","POLK",1438,1655,890,5,3747,120,1,2,2,0
"73","RANDOLPH",4415,9526,1875,17,14209,646,14,62,13,25
"74","RICHMOND",4192,1048,417,5,3953,1369,21,34,9,9
"75","ROBESON",3418,695,385,4,2107,1134,959,39,8,6
"76","ROCKINGHAM",5347,3295,1133,11,7469,1751,11,33,8,8
"77","ROWAN",4844,6132,1591,8,10291,1507,13,54,16,10
"78","RUTHERFORD",4621,3499,1058,6,8078,685,8,23,9,6
"79","SAMPSON",3702,2851,452,5,4581,1916,113,21,6,7
"80","SCOTLAND",2832,878,451,4,2569,1242,70,22,4,4
"81","STANLY",3665,4563,1029,16,8317,541,2,3,8,13
"82","STOKES",985,1421,309,1,2412,82,2,9,4,0
"83","SURRY",3368,3066,755,3,6644,198,3,27,4,2
"84","SWAIN",850,424,209,1,1308,36,64,3,6,3
"85","TRANSYLVANIA",2367,2723,1285,11,5948,115,4,23,3,4
"86","TYRRELL",172,34,29,0,184,32,0,2,0,0
"87","UNION",8531,11563,3328,37,19345,2532,35,129,28,47
"88","VANCE",3159,665,248,6,2122,1691,2,17,3,2
"89","WARREN",1863,295,158,3,809,1317,56,7,7,1
"90","WASHINGTON",1012,249,94,3,919,338,0,6,1,1
"91","WATAUGA",4204,4053,2304,36,9212,91,8,63,25,12
"92","WAYNE",11408,8478,2044,13,15639,4990,34,133,38,57
"93","WILKES",2200,3937,819,6,6399,230,3,16,2,1
"94","WILSON",6474,3238,766,8,6829,3010,3,19,10,7
"95","YADKIN",608,1949,400,5,2687,60,0,13,3,5
"96","YANCEY",1617,1311,444,3,3244,19,2,9,2,2
