"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"46","HERTFORD",6078,664,511,3,51.7614388092613,2176,4894,52,16,27,13
"47","HOKE",6334,1794,1725,5,46.8171028606208,4007,5019,311,15,80,44
"48","HYDE",450,62,72,0,53.5239726027397,354,219,1,4,0,0
"49","IREDELL",16375,18515,8536,20,51.0501311973484,35076,6876,53,552,118,166
"50","JACKSON",5154,2503,2448,7,50.9751780063291,9078,208,433,69,52,93
"51","JOHNSTON",17295,14114,6918,23,48.4536375488918,28573,8464,98,162,99,73
"52","JONES",1607,450,319,0,53.5677609427609,1344,996,3,7,3,2
"53","LEE",10262,5004,2824,18,52.1602606582726,13075,4446,50,194,57,48
"54","LENOIR",12166,4236,1997,4,53.262239852198,10820,7342,19,48,38,22
"55","LINCOLN",7077,8870,3810,14,51.5417530726822,17585,1736,20,158,31,26
"56","MACON",4095,4332,2370,5,56.4332531012775,10498,116,15,68,22,18
"57","MADISON",3087,1732,1167,5,52.9395760307127,5827,31,9,71,7,15
"58","MARTIN",4924,738,626,0,53.2105597964377,2635,3569,12,25,13,5
"59","MCDOWELL",5015,4325,2339,3,52.7989214175655,11034,464,5,1,22,23
"60","MECKLENBURG",127415,61275,48186,132,46.9308968473638,130466,90184,480,7328,1279,2385
"61","MITCHELL",669,2883,1011,1,55.4460999123576,4511,9,2,24,5,0
"62","MONTGOMERY",2781,1384,668,4,53.599338432913,3360,1358,9,24,10,12
"63","MOORE",10437,12656,6738,25,56.2596463022508,24826,4454,91,106,56,62
"64","NASH",19649,9030,3003,13,50.7937529578798,17499,13475,122,200,84,58
"65","NEW HANOVER",26356,21055,13150,76,50.8101654105579,48798,9790,106,585,250,222
"66","NORTHAMPTON",4686,406,537,2,53.5006215592257,1752,3779,10,32,13,6
"67","ONSLOW",14381,11415,6594,26,49.2349148568608,22544,7869,80,301,231,203
"68","ORANGE",33313,8298,14530,78,43.0689980255785,44030,7467,146,931,622,1377
"69","PAMLICO",2720,1414,786,2,56.0491670052824,3684,1131,19,37,3,6
"70","PASQUOTANK",8514,2558,2400,9,50.2610340479193,7418,5611,15,112,55,44
"71","PENDER",8060,6804,3416,19,52.8938193343899,14300,3526,24,262,34,28
"72","PERQUIMANS",2121,919,880,4,56.3674821610601,2870,985,7,9,3,4
"73","PERSON",7743,2717,2019,5,51.7453540531881,8182,4019,54,42,37,16
"74","PITT",30322,14449,8160,26,45.5890628245558,32542,18580,104,420,236,262
"75","POLK",2888,2900,2134,5,58.0134981708086,7351,459,6,29,13,10
"76","RANDOLPH",8845,16146,5039,22,52.6653467323306,26866,2548,58,219,58,76
"77","RICHMOND",8943,1899,1348,3,52.0908718116952,7460,4460,76,43,28,33
"78","ROBESON",12471,1605,1442,5,49.7950782709528,4497,7345,3204,137,62,42
"79","ROCKIGHAM",0,1,0,0,55,1,0,0,0,0,0
"80","ROCKINGHAM",13312,7445,3659,12,52.8574995906337,17561,6479,33,162,45,35
"81","ROWAN",15083,15693,6331,10,51.388204865695,28731,7552,66,359,69,70
"82","RUTHERFORD",8878,6134,2946,5,53.6284584980237,15102,2491,17,102,32,22
"83","SAMPSON",8737,4797,1362,6,52.3196886323983,8329,6022,184,90,34,26
"84","SCOTLAND",6783,1488,1301,1,52.424422855949,4715,4306,267,116,26,46
"85","STANLY",7058,8121,2782,10,52.4979133047688,15587,2105,17,10,20,32
"86","STOKES",3332,4414,1433,9,52.2199608184589,8321,711,13,61,21,10
"87","SURRY",7946,6952,2557,8,53.8205348451011,16091,1084,12,111,25,15
"88","SWAIN",1699,830,670,1,53.9821875,2857,30,273,5,5,3
"89","TRANSYLVANIA",4077,3878,2816,3,57.3255058474104,10131,449,13,68,38,10
"90","TYRRELL",771,110,152,0,54.4346563407551,671,342,0,7,3,1
"91","UNION",20035,26384,11888,34,48.6540340412403,47303,8836,103,723,159,333
"92","VANCE",10873,1633,1197,4,50.4688845115634,5708,7704,11,86,26,15
"93","WAKE",138082,77405,62677,279,46.0371314775376,190476,69239,527,5665,1539,4452
"94","WARREN",5348,653,531,2,53.4158249158249,2084,4108,230,39,14,3
"95","WASHINGTON",2950,361,346,1,53.470749043193,1685,1919,2,19,2,4
"96","WATAUGA",6992,6197,5768,34,41.7227634142489,17892,372,20,307,109,81
"97","WAYNE",20125,11360,4760,25,51.2760683760684,21632,12918,65,458,141,121
"98","WILKES",4756,7957,2291,12,53.7279568460309,13941,917,9,48,16,2
"99","WILSON",16479,6255,2395,9,51.2119500358024,13337,11325,31,107,36,24
"100","YADKIN",1381,3211,1006,3,53.1924656311373,5168,319,3,21,9,17
"101","YANCEY",2441,1801,808,3,54.727884425094,4955,56,4,9,7,2
