"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",19152,12415,5826,32,52.181002004008,27132,9048,71,446,162,111
"2","ALEXANDER",3366,4192,1645,7,52.95776330076,8463,623,12,18,15,20
"3","ALLEGHANY",1681,1032,559,3,56.4641221374046,3165,56,2,9,3,0
"4","ANSON",4927,610,390,1,51.1872469635627,2251,3592,6,21,8,5
"5","ASHE",2477,2561,1085,6,55.0789688366781,6005,46,5,24,2,8
"6","AVERY",394,1483,570,1,54.8635620915033,2400,10,2,17,3,1
"7","BEAUFORT",6614,3597,2043,4,54.2931147006037,8579,3463,14,60,20,11
"8","BERTIE",5209,507,463,1,52.6291262135922,2140,3910,9,46,15,1
"9","BLADEN",7946,1240,1280,0,51.2477546340531,5667,4580,65,28,13,26
"10","BRUNSWICK",15165,14645,8619,34,56.2756935236461,32849,4831,55,284,65,77
"11","BUNCOMBE",44857,23790,21829,70,50.7403087933205,81099,5720,156,1481,414,242
"12","BURKE",11308,9226,4700,14,53.2094819391635,22701,2096,29,59,31,110
"13","CABARRUS",14699,13545,6628,32,49.6075234930094,25534,7849,55,691,154,214
"14","CALDWELL",8495,10993,3781,18,52.2818740069567,21154,1719,14,129,40,28
"15","CAMDEN",1515,710,678,1,51.7995867768595,2265,592,4,8,5,3
"16","CARTERET",7439,9411,4652,11,55.1045879235811,19776,1193,28,93,32,58
"17","CASWELL",3855,958,743,1,52.8088896886809,2847,2623,4,14,13,7
"18","CATAWBA",15949,21896,9336,22,51.7884668347351,40842,5057,43,209,109,284
"19","CHATHAM",11987,5060,5136,15,53.2020902784035,17335,3944,26,251,99,123
"20","CHEROKEE",2340,2984,1369,4,56.4769299686427,6509,71,37,27,11,14
"21","CHOWAN",3065,1132,900,2,53.7060207883899,3330,1679,6,33,18,1
"22","CLAY",1220,1484,842,0,56.9836435420192,3502,4,4,12,3,2
"23","CLEVELAND",14319,7092,3325,13,51.3019111883308,16941,7393,23,158,65,48
"24","COLUMBUS",9999,2025,1462,5,52.8426358312949,7614,5431,277,38,42,11
"25","CRAVEN",14671,9915,5114,12,53.5943726440495,20754,8047,40,158,97,116
"26","CUMBERLAND",50734,17550,14245,58,47.5950452250354,33408,42119,623,1526,817,637
"27","CURRITUCK",1605,1271,1152,0,52.9674776564052,3532,389,16,16,15,10
"28","DARE",4235,2616,2677,7,53.8432092291557,9003,290,10,91,18,16
"29","DAVIDSON",12805,18085,5285,29,53.1184399513866,31238,4331,66,188,52,97
"30","DAVIE",3328,6914,2228,10,53.3204326923077,11126,1146,14,29,26,19
"31","DUPLIN",6272,1959,1357,1,52.8447179059339,5156,4199,14,125,25,8
"32","DURHAM",69459,13699,20801,80,45.2448312651986,52411,43675,204,3245,938,1918
"33","EDGECOMBE",15142,2186,1045,6,50.684150389031,5808,12279,25,97,35,14
"34","FORSYTH",51224,29294,15525,60,50.7296754523792,59741,32955,128,1105,382,407
"35","FRANKLIN",8626,3812,2062,9,50.3193190433524,8525,5588,40,142,38,21
"36","GASTON",22371,21743,8717,25,51.4617451188134,41208,10194,71,615,133,178
"37","GATES",1816,348,301,0,52.0624746450304,1151,1236,1,29,18,7
"38","GRAHAM",912,912,312,1,54.8876930276088,2064,0,49,10,2,2
"39","GRANVILLE",10531,3502,2085,13,49.9978922571446,9108,6586,30,198,52,36
"40","GREENE",3586,712,537,0,51.0107549120993,2615,2155,5,26,8,3
"41","GUILFORD",90691,45514,25946,94,49.1393571450584,96397,59911,304,1710,870,1231
"42","HALIFAX",11798,1649,1418,9,51.2763883286271,5344,8866,300,94,43,67
"43","HARNETT",11397,6709,3021,23,50.166146572104,14005,6283,108,107,95,81
"44","HAYWOOD",8605,4801,3010,15,56.2886008155316,16012,205,23,75,18,17
"45","HENDERSON",9113,14728,9833,20,57.385261470885,31834,895,32,513,73,95
