"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",8725,7130,2680,14,58.3530648552483,14317,3868,33,134,35,38
"2","ALEXANDER",1802,2313,935,6,57.732792721519,4805,214,3,6,4,3
"3","ALLEGHANY",1094,735,364,3,59.5714936247723,2153,29,1,3,2,0
"4","ANSON",1998,299,167,2,57.9383617193836,1145,1295,3,6,3,2
"5","ASHE",1442,1581,604,7,60.4108420473308,3577,19,2,10,1,8
"6","AVERY",191,766,225,0,62.1446700507614,1167,2,1,5,1,1
"7","BEAUFORT",2896,2132,1212,4,59.2937219730942,4942,1222,7,15,11,1
"8","BERTIE",2123,241,212,0,58.4468167701863,1107,1428,2,16,6,0
"9","BLADEN",5673,706,1072,4,54.3605633802817,4306,2999,57,10,10,25
"10","BRUNSWICK",6838,10224,5646,21,61.4712921817942,20414,1929,31,170,17,30
"11","BUNCOMBE",17797,11270,7702,36,58.2718652357017,34400,1335,39,452,98,70
"12","BURKE",3894,3265,1556,10,59.177994269341,8115,512,9,11,3,12
"13","CABARRUS",4346,6585,2489,13,55.8843891907988,11066,1991,17,178,44,30
"14","CALDWELL",3381,5136,1538,13,57.8667063965038,9466,472,7,41,18,6
"15","CAMDEN",675,264,299,1,57.6577885391445,1041,185,1,3,2,2
"16","CARTERET",2768,5001,1971,6,60.5038990355017,9297,253,6,39,16,22
"17","CASWELL",1620,437,332,4,57.608023401588,1301,1053,3,8,8,3
"18","CATAWBA",5082,8465,2955,7,58.5726573384215,14692,1584,8,46,20,43
"19","CHATHAM",6116,3153,2990,18,59.0500122179686,10097,1715,14,119,36,66
"20","CHEROKEE",1143,1830,718,7,58.7909680908599,3628,17,15,11,7,3
"21","CHOWAN",1266,715,547,6,58.0911602209945,2089,409,2,13,4,1
"22","CLAY",915,1175,773,3,59.0673412421493,2813,7,3,11,1,1
"23","CLEVELAND",5200,2948,1361,8,58.9723652411474,7423,2012,5,25,7,12
"24","COLUMBUS",4655,1145,747,4,57.7745382384369,4314,2097,92,7,3,4
"25","CRAVEN",4385,4371,1975,13,60.3403760238273,8497,2000,17,38,16,29
"26","CUMBERLAND",14271,7073,3908,25,56.2452822724216,12653,11064,149,332,118,167
"27","CURRITUCK",761,667,557,5,56.035175879397,1855,98,5,10,3,2
"28","DARE",1627,1268,994,6,59.4387676508344,3734,88,2,21,8,6
"29","DAVIDSON",4282,7300,2035,26,59.729165139632,11809,1691,21,47,9,20
"30","DAVIE",1193,3210,955,3,60.1870919604551,4912,394,3,7,11,4
"31","DUPLIN",2404,928,558,1,58.7645849396042,2335,1478,6,40,11,3
"32","DURHAM",17914,4004,4556,45,53.6734416833214,14360,10767,46,575,161,284
"33","EDGECOMBE",4906,670,296,1,58.8092967818832,2047,3764,3,18,12,2
"34","FORSYTH",14063,11899,4665,34,58.7280584455823,22018,7900,33,252,76,85
"35","FRANKLIN",3374,1736,815,7,56.7648347943358,3584,2212,19,48,8,6
"36","GASTON",6238,8039,2525,15,58.1355176309687,14082,2482,20,97,23,17
"37","GATES",516,91,88,1,57.1637931034483,332,341,0,9,5,2
"38","GRAHAM",708,670,249,1,56.6339066339066,1575,0,35,7,1,2
"39","GRANVILLE",3421,1309,720,8,57.4607914987175,3492,1845,8,56,15,11
"40","GREENE",1794,235,266,1,56.3758710801394,1125,1154,1,6,3,0
"41","GUILFORD",24759,17781,6710,59,58.3540935731814,33079,15243,56,318,121,180
"42","HALIFAX",1678,204,196,2,58.7682692307692,709,1300,17,14,6,2
"43","HARNETT",4349,3561,1224,28,55.5940842610784,6970,1879,36,52,27,25
"44","HAYWOOD",4264,2557,1493,6,61.1211538461538,8143,85,11,33,6,8
"45","HENDERSON",4158,9335,5324,11,63.5161461652857,18143,267,5,256,26,32
"46","HERTFORD",1242,126,122,0,57.403355704698,466,992,19,1,4,1
"47","HOKE",2544,721,577,5,54.8765271640239,1644,1894,149,5,19,21
"48","HYDE",191,45,70,1,57.6514657980456,262,43,0,0,0,0
"49","IREDELL",5303,7719,2912,15,58.371998244404,13706,1930,14,110,27,30
"50","JACKSON",2466,1293,1070,6,58.7602895553257,4521,44,170,29,9,23
"51","JOHNSTON",6265,6550,2420,16,54.0457674906564,12055,2850,24,41,25,19
"52","JONES",586,203,163,1,57.2402938090241,676,261,1,3,1,4
"53","LEE",4174,2538,1080,4,59.921241662391,6215,1465,19,33,5,15
"54","LENOIR",5579,2069,1039,3,59.5902186421174,5390,3224,5,18,7,6
"55","LINCOLN",2329,3631,1352,4,57.3054948059049,6727,459,9,51,7,8
"56","MACON",2240,2802,1356,3,60.4283705670989,6305,28,8,29,9,7
"57","MADISON",2002,1147,601,2,56.6745735607676,3678,5,4,34,3,6
"58","MARTIN",1968,298,273,1,58.5937007874016,1331,1182,5,9,6,1
"59","MCDOWELL",2266,2192,1017,3,57.8046732384082,5308,122,1,0,7,7
"60","MECKLENBURG",32347,27091,13460,79,54.9782534223111,47398,22696,110,1271,225,406
"61","MITCHELL",230,1898,560,1,59.1349944217181,2662,6,1,9,3,4
"62","MONTGOMERY",891,623,321,0,59.3237057220708,1562,241,4,7,2,4
"63","MOORE",1779,4247,1724,9,63.6690295141126,7047,594,18,27,5,11
"64","NASH",7158,3985,1393,8,57.5410554846939,7961,4416,32,40,24,14
"65","NEW HANOVER",8509,10324,4621,31,58.5444326165638,19761,3180,41,165,54,51
"66","NORTHAMPTON",1933,186,263,0,57.6939546599496,933,1415,5,11,2,3
"67","ONSLOW",3951,4160,1991,15,56.6631412474054,7719,1855,28,120,29,52
"68","ORANGE",11024,2815,3795,31,51.5930370789697,14447,2146,21,238,141,280
"69","PAMLICO",973,750,368,1,62.4354684512428,1672,382,4,21,0,4
"70","PASQUOTANK",3051,987,1002,8,59.4475039619651,3424,1497,7,33,12,12
"71","PENDER",3494,4095,1791,16,58.6727330779055,7838,1361,17,119,10,8
"72","PERQUIMANS",767,532,480,2,62.5070185289163,1530,236,4,1,1,0
"73","PERSON",3081,900,845,8,58.0918494000827,3451,1318,16,6,6,4
"74","PITT",8949,4425,2112,8,55.1328256099135,10095,5089,18,77,19,33
"75","POLK",1581,1665,1150,6,63.0810995002272,4130,215,3,13,8,2
"76","RANDOLPH",2256,6539,1617,13,59.3015827338129,9886,395,12,54,13,14
"77","RICHMOND",3653,741,598,1,57.3048267574604,3115,1763,30,16,10,4
"78","ROBESON",3361,689,446,2,57.3590484659849,2230,1253,928,19,13,7
"79","ROCKINGHAM",4174,3235,1307,6,59.3963540472369,7262,1374,11,31,6,7
"80","ROWAN",4078,5485,2097,6,58.4250814332248,9639,1850,18,74,10,8
"81","RUTHERFORD",3122,2866,1349,3,59.2162125340599,6647,600,10,32,7,6
"82","SAMPSON",3128,2643,602,4,58.2109142229889,4390,1845,58,37,8,3
"83","SCOTLAND",2817,604,558,1,58.872864321608,2201,1649,61,30,7,9
"84","STANLY",2412,3501,1027,2,58.5583405358686,6344,528,6,9,6,8
"85","STOKES",1072,1871,566,6,57.4736842105263,3362,110,6,20,5,3
"86","SURRY",3669,3324,1120,8,58.4919344908263,7711,305,0,39,10,8
"87","SWAIN",1217,580,410,1,57.0013586956522,1962,12,210,11,2,1
"88","TRANSYLVANIA",2210,2514,1645,7,62.6907151819322,6194,99,5,34,8,5
"89","TYRRELL",372,67,89,1,58.4952741020794,457,62,1,4,1,3
"90","UNION",5430,9254,3499,21,55.846572181938,15040,2743,32,136,29,79
"91","VANCE",5431,948,660,6,56.6025550035486,3676,3261,5,27,11,13
"92","WAKE",37283,29420,15536,122,52.8109420720972,57074,19439,118,1214,241,849
"93","WARREN",2004,266,236,1,59.2919824491424,879,1512,66,16,4,2
"94","WASHINGTON",1381,208,222,0,58.0623964660409,1100,691,1,7,1,1
"95","WATAUGA",3182,3087,1918,24,53.7307270734381,7967,64,8,74,22,16
"96","WAYNE",8166,5640,1772,12,57.5682488774856,10204,4949,29,109,34,33
"97","WILKES",1860,3380,870,3,59.7269752985441,5809,244,3,12,10,2
"98","WILSON",8386,3064,1499,3,56.0028567016677,7217,5545,7,47,14,11
"99","YADKIN",370,1186,337,1,56.6990496304118,1821,43,0,5,2,5
"100","YANCEY",2191,1856,833,2,54.1267922982384,4788,36,4,8,5,6
