"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",3790,2799,851,0,59.0084752668894,6501,816,13,48,0,12
"2","ALEXANDER",1291,1246,354,0,58.1627731725697,2794,74,2,8,0,1
"3","ALLEGHANY",1001,504,172,0,62.5134357005758,1653,19,0,2,0,0
"4","ANSON",1306,142,80,0,57.6477343265053,920,599,2,4,0,0
"5","ASHE",1022,688,270,0,61.8803655497092,1958,3,3,6,0,4
"6","AVERY",111,446,106,0,60.6259754738016,656,0,0,5,0,0
"7","BEAUFORT",1235,968,438,0,60.0212705210564,2366,242,1,19,0,1
"8","BERTIE",767,67,40,0,60.4767836919592,333,533,2,5,0,0
"9","BLADEN",1596,185,218,0,55.9616399788844,1443,474,24,9,0,46
"10","BRUNSWICK",3607,4033,1561,0,63.322097219274,8312,765,12,66,0,8
"11","BUNCOMBE",16144,9785,4918,0,56.5694644029308,29476,672,27,325,0,40
"12","BURKE",2470,1748,603,0,58.7808457365419,4477,293,6,20,0,5
"13","CABARRUS",1502,2464,675,0,56.3479829088286,4313,234,8,41,0,12
"14","CALDWELL",2361,3003,731,0,58.4810334528076,5876,179,1,26,0,2
"15","CAMDEN",572,171,155,0,57.2153209109731,772,118,0,2,0,3
"16","CARTERET",2429,3158,1093,0,60.1190704688785,6475,138,5,37,0,8
"17","CASWELL",407,93,64,0,59.5559027777778,348,212,1,1,0,1
"18","CATAWBA",3802,4631,1535,0,57.8175273746827,9146,712,1,31,0,23
"19","CHATHAM",2559,862,990,0,60.0849851902483,3933,395,2,32,0,12
"20","CHEROKEE",1042,1346,419,0,61.3589323343479,2759,14,14,7,0,2
"21","CHOWAN",292,141,78,0,61.4538979026514,442,63,0,3,0,0
"22","CLAY",929,985,434,0,61.8611921634014,2328,5,4,4,0,1
"23","CLEVELAND",2626,1551,475,0,58.3616923430674,3919,704,1,11,0,3
"24","COLUMBUS",2704,483,253,0,59.0237026396121,2291,1097,45,1,0,0
"25","CRAVEN",4001,3774,1272,0,60.0810388450662,7419,1455,17,61,0,22
"26","CUMBERLAND",4251,2895,1264,0,54.4949696080486,5213,2595,52,153,0,49
"27","CURRITUCK",328,210,190,0,58.154521175124,688,27,2,4,0,0
"28","DARE",1169,506,454,0,59.8165660051769,2056,45,1,12,0,0
"29","DAVIDSON",2636,3199,768,0,58.5751125044243,6283,265,10,11,0,6
"30","DAVIE",575,1239,335,0,59.0509927797834,2018,118,1,6,0,1
"31","DUPLIN",524,183,94,0,58.8778523489933,601,193,0,6,0,0
"32","DURHAM",3851,923,1095,0,51.7297782048202,4329,1237,7,129,0,64
"33","EDGECOMBE",787,133,57,0,57.6695262961582,566,405,0,3,0,1
"34","FORSYTH",3956,3423,1307,0,57.2468366150238,7327,1153,7,74,0,10
"35","FRANKLIN",841,455,150,0,58.1259226454089,1179,249,4,8,0,0
"36","GASTON",3443,3544,1060,0,56.9022698229173,7346,637,1,17,0,15
"37","GATES",270,46,40,0,58.9957734573119,202,144,0,4,0,1
"38","GRAHAM",886,714,200,0,60.1161191749427,1764,0,21,9,0,0
"39","GRANVILLE",1104,312,135,0,56.9641155922515,1164,364,2,10,0,2
"40","GREENE",510,80,55,0,57.9977846699158,486,158,0,1,0,0
"41","GUILFORD",1128,956,395,0,56.4898029812375,2024,350,3,62,0,19
"42","HALIFAX",370,44,37,0,58.8338188375642,203,240,0,5,0,1
"43","HARNETT",1950,1146,260,0,55.7426102406719,2903,386,14,25,0,6
"44","HAYWOOD",3825,2078,752,0,61.1775164898193,6564,47,5,16,0,1
"45","HENDERSON",3036,5972,3207,0,62.6850300020691,11939,59,5,147,0,11
"46","HERTFORD",377,22,22,0,59.6700704225352,102,306,6,1,0,1
"47","HOKE",1511,229,218,0,53.6179109834889,952,866,95,2,0,4
"48","HYDE",146,25,19,0,58.9272727272727,159,27,1,1,0,0
"49","IREDELL",2491,2806,769,0,56.8172908418251,5567,434,7,28,0,4
"50","JACKSON",2185,1034,506,0,55.7668797443068,3620,25,32,26,0,8
"51","JOHNSTON",1647,1303,352,0,56.1244148624927,2904,348,4,11,0,1
"52","JONES",244,73,61,0,59.3725321888412,285,85,1,3,0,1
"53","LEE",2205,1165,360,0,58.7240706746214,3271,415,7,20,0,4
"54","LENOIR",1663,756,298,0,58.2466472303207,2222,472,0,6,0,3
"55","LINCOLN",850,985,278,0,57.6130089717046,2010,75,2,13,0,4
"56","MACON",2399,2434,1021,0,61.856881014205,5769,14,8,38,0,5
"57","MADISON",1602,968,398,0,58.2499320097906,2937,3,3,19,0,0
"58","MARTIN",548,89,55,0,58.7619047619048,484,201,1,4,0,1
"59","MCDOWELL",1898,1480,578,0,58.5334134254393,3869,57,1,8,0,4
"60","MECKLENBURG",12659,13680,5890,0,52.9555404402671,26205,5029,49,340,0,132
"61","MITCHELL",210,916,321,0,60.0746613809052,1436,3,1,6,0,0
"62","MONTGOMERY",388,273,72,0,60.067205288285,644,72,0,10,0,1
"63","MOORE",1122,1955,727,0,61.2442312085904,3528,210,8,21,0,3
"64","NASH",1351,1151,225,0,57.9162558106776,2161,514,10,14,0,1
"65","NEW HANOVER",2717,3363,1151,0,57.5696014828545,6506,599,12,66,0,10
"66","NORTHAMPTON",335,45,71,0,61.8346228239845,305,139,1,3,0,0
"67","ONSLOW",1802,1841,774,0,55.567544386311,3519,625,12,140,0,25
"68","ORANGE",5166,964,1471,0,48.6236727135955,6737,501,9,141,0,75
"69","PAMLICO",762,503,201,0,62.6017333883615,1221,223,2,12,0,1
"70","PASQUOTANK",1640,497,286,0,58.5422189128816,1820,562,4,15,0,6
"71","PENDER",1556,1502,560,0,58.640305635148,3135,414,5,42,0,3
"72","PERQUIMANS",339,180,94,0,63.0600858369099,490,122,0,0,0,0
"73","PERSON",2792,936,636,0,57.8559077809798,3653,659,20,10,0,5
"74","PITT",3303,2355,611,0,52.6901544760841,5302,861,9,38,0,11
"75","POLK",1531,1365,879,0,63.6129812981298,3618,131,1,7,0,2
"76","RANDOLPH",1362,2969,528,0,58.6153369481022,4707,106,5,18,0,3
"77","RICHMOND",1297,293,115,0,57.9590556990041,1390,291,7,11,0,2
"78","ROBESON",556,74,42,0,56.9272078875603,347,211,100,5,0,0
"79","ROCKINGHAM",1663,858,340,0,58.6083489397692,2326,506,6,13,0,0
"80","ROWAN",1410,1862,490,0,59.4197458741054,3364,349,6,17,0,5
"81","RUTHERFORD",3308,2455,709,0,59.6854866249289,6144,270,8,33,0,1
"82","SAMPSON",884,655,118,0,58.9917789050201,1268,344,31,8,0,0
"83","SCOTLAND",2582,497,401,0,59.8441952814763,1917,1433,78,30,0,8
"84","STANLY",1828,1887,518,0,58.7155630426331,4018,190,2,4,0,1
"85","STOKES",383,504,116,0,59.0920065252855,973,15,0,10,0,0
"86","SURRY",2558,1764,495,0,59.5098479612992,4682,91,3,23,0,3
"87","SWAIN",1256,518,252,0,59.8814559763896,1874,29,105,4,0,3
"88","TRANSYLVANIA",2627,2754,1410,0,62.9385819659792,6645,96,1,23,0,8
"89","TYRRELL",134,11,18,0,59.7832512315271,149,12,0,2,0,0
"90","UNION",2119,2666,893,0,54.027877894277,4906,685,9,34,0,5
"91","VANCE",1929,404,195,0,58.7448295951063,1732,763,2,10,0,4
"92","WAKE",13741,12191,5235,0,52.3199951662362,26328,3690,54,302,0,195
"93","WARREN",603,64,55,0,59.6416739319965,279,422,12,6,0,0
"94","WASHINGTON",669,84,95,0,59.9126775381378,658,184,0,4,0,0
"95","WATAUGA",2662,2099,1106,0,49.7603325137572,5765,33,1,21,0,7
"96","WAYNE",3635,2636,654,0,58.1871183483571,5408,1386,8,52,0,8
"97","WILKES",1112,1349,323,0,59.4227616645649,2650,115,1,8,0,0
"98","WILSON",1653,725,186,0,57.5772382397572,1993,545,0,7,0,1
"99","YADKIN",186,435,111,0,58.624962764373,717,5,0,5,0,1
"100","YANCEY",1261,1115,302,0,59.1549826187717,2650,18,2,5,0,1
