"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",9446,7558,3527,37,59.281796966161,15479,4492,45,307,51,56
"2","ALEXANDER",1695,2571,1125,4,59.6164967562558,5078,264,2,27,3,3
"3","ALLEGHANY",1033,888,475,4,61.2079166666667,2331,34,2,30,2,0
"4","ANSON",1975,258,190,0,59.8270738753611,956,1305,2,155,1,1
"5","ASHE",1280,1565,754,5,61.7117092119867,3534,13,3,28,0,9
"6","AVERY",149,692,252,4,63.4986326344576,1081,1,1,10,1,0
"7","BEAUFORT",3927,2684,1832,9,60.4852106010412,6119,2173,7,88,16,10
"8","BERTIE",2100,214,282,0,59.8235747303544,1015,1517,2,57,3,2
"9","BLADEN",4577,713,1321,1,55.72277676951,3782,2670,38,66,13,12
"10","BRUNSWICK",6707,9085,6256,27,64.3051868629672,19357,2272,35,247,32,40
"11","BUNCOMBE",22054,11612,11669,98,59.1060022450642,41857,1879,50,795,161,140
"12","BURKE",5089,4690,2629,20,59.9503540392662,11321,953,17,48,10,24
"13","CABARRUS",6146,7281,3780,27,57.4187652315191,12801,3761,22,305,66,108
"14","CALDWELL",2861,5204,1963,14,60.1252738498307,9224,666,4,82,17,9
"15","CAMDEN",675,309,415,4,58.471846044191,1099,288,1,7,1,2
"16","CARTERET",3173,5553,2857,15,62.1117434040352,10860,465,13,171,16,20
"17","CASWELL",1757,454,382,4,59.6861763573354,1292,1262,3,23,5,1
"18","CATAWBA",5415,9830,4309,35,59.7074378477717,17311,1863,15,168,28,80
"19","CHATHAM",7574,3419,4107,28,60.6696192490746,12151,2256,21,403,48,91
"20","CHEROKEE",1079,1767,880,8,60.276111408677,3643,13,21,33,7,6
"21","CHOWAN",1323,742,637,3,59.6214417744917,2037,631,1,16,5,3
"22","CLAY",647,1085,697,5,61.797863599014,2401,2,2,26,0,1
"23","CLEVELAND",6422,3203,1828,14,59.1950815383274,7572,3760,7,70,12,12
"24","COLUMBUS",3915,827,708,2,60.6999266324285,3042,2234,103,40,4,7
"25","CRAVEN",6341,5828,3338,23,61.4483580167418,11770,3350,28,148,27,66
"26","CUMBERLAND",19705,7076,5370,46,56.6546572662049,13113,17027,188,570,181,231
"27","CURRITUCK",575,711,742,3,59.5622845888725,1837,143,7,23,4,1
"28","DARE",2038,1549,1513,13,60.997457461373,4862,150,4,52,11,3
"29","DAVIDSON",4287,8192,2669,27,60.4707742998353,13303,1665,20,88,9,33
"30","DAVIE",1203,3449,1253,6,61.7585856877009,5363,465,2,40,10,9
"31","DUPLIN",2161,844,609,0,61.3475373547316,2019,1512,2,61,6,2
"32","DURHAM",24895,3888,6973,68,54.16597811523,17901,15718,67,912,257,475
"33","EDGECOMBE",6669,847,475,10,58.8890138732658,2418,5496,8,47,10,5
"34","FORSYTH",18857,13016,6833,58,59.2124651738727,25593,12045,39,537,99,143
"35","FRANKLIN",4904,2313,1520,9,57.6958609650126,5197,3297,17,145,15,10
"36","GASTON",9616,10875,4305,53,58.4120487745986,19101,5074,36,363,61,61
"37","GATES",618,113,141,0,58.8738532110092,395,441,0,22,7,1
"38","GRAHAM",637,661,293,3,58.2917189460477,1552,0,31,8,0,1
"39","GRANVILLE",4926,1468,1165,10,58.5159202008191,4119,3250,13,113,17,17
"40","GREENE",1891,319,367,3,58.4372093023256,1311,1240,2,19,3,0
"41","GUILFORD",33682,20053,10708,102,58.1043303121853,39909,22702,100,709,222,410
"42","HALIFAX",4596,373,778,3,58.4921739130435,1957,3614,50,64,16,21
"43","HARNETT",5304,4044,1750,27,57.6186966292135,7817,2900,35,179,37,44
"44","HAYWOOD",4119,2413,1757,9,62.9781875150639,8087,121,6,43,8,9
"45","HENDERSON",4390,8278,6063,33,64.2547964186741,17959,318,13,297,33,35
"46","HERTFORD",1380,118,147,0,60.0626139817629,424,1177,22,6,7,0
"47","HOKE",3378,761,778,8,55.4497461928934,1743,2808,203,35,24,17
"48","HYDE",223,49,52,3,59.1926605504587,243,75,0,6,1,0
"49","IREDELL",6666,10396,5064,32,57.947468183049,18558,3055,29,289,40,61
"50","JACKSON",2638,1320,1210,4,60.2726218097448,4860,49,138,70,11,23
"51","JOHNSTON",7425,7532,3708,49,56.254355028321,14077,3998,45,313,43,36
"52","JONES",660,301,231,1,58.6404023470243,813,366,2,3,1,2
"53","LEE",4725,2645,1515,14,60.1397909877514,6580,2077,19,89,25,26
"54","LENOIR",6261,2123,1425,7,59.641401792991,5353,4366,8,46,11,6
"55","LINCOLN",2861,4453,1975,17,59.3154953793252,8210,876,10,132,15,17
"56","MACON",1874,2498,1447,8,63.3104513471769,5721,23,5,42,8,10
"57","MADISON",1850,958,833,9,58.8843835616438,3567,7,4,52,4,6
"58","MARTIN",1870,370,383,5,59.3592085235921,1302,1297,5,19,2,0
"59","MCDOWELL",1601,1895,957,6,60.7950213052254,4272,160,2,0,5,4
"60","MECKLENBURG",52780,29159,22366,200,55.5343572077891,60773,38287,185,2197,448,980
"61","MITCHELL",219,1498,520,1,61.5786416443253,2220,2,0,12,1,1
"62","MONTGOMERY",1069,673,408,0,60.713488372093,1749,368,4,15,3,4
"63","MOORE",3190,5183,2873,20,64.0612462275874,9804,1254,24,48,18,36
"64","NASH",9023,4782,2261,20,57.4132164615193,9508,6292,49,102,30,25
"65","NEW HANOVER",11326,10203,6677,69,59.9376127320955,23224,4248,38,403,72,96
"66","NORTHAMPTON",1811,138,220,0,61.7058552328262,638,1501,4,16,4,0
"67","ONSLOW",4308,5123,3047,26,58.4568138195777,9172,2709,35,216,45,73
"68","ORANGE",15348,2849,6660,63,52.2941011235955,19904,2967,37,725,208,597
"69","PAMLICO",1459,817,588,1,61.7396160558464,2123,678,8,34,6,5
"70","PASQUOTANK",3150,1060,1099,11,60.5892857142857,3282,1892,10,72,13,14
"71","PENDER",3250,3503,1869,15,60.9227741113813,6878,1565,12,123,13,8
"72","PERQUIMANS",770,490,503,3,64.599093997735,1410,346,2,3,1,1
"73","PERSON",3421,1209,1131,11,59.1936936936937,3905,1755,23,49,12,4
"74","PITT",11917,5572,3459,29,56.2178099823616,12801,7705,33,180,49,56
"75","POLK",1362,1415,1271,9,64.7976337194972,3829,169,5,28,8,5
"76","RANDOLPH",3344,8525,2497,26,60.3935519733185,13235,918,19,97,15,17
"77","RICHMOND",3909,793,821,5,58.5218885672938,3408,2020,30,30,9,8
"78","ROBESON",4839,675,829,8,57.4065501495827,2275,2415,1528,50,17,6
"79","ROCKINGHAM",6177,4464,2294,13,59.8604417670683,9652,3085,14,122,14,14
"80","ROWAN",4942,6294,3034,14,59.9722766732008,11186,2863,10,107,16,18
"81","RUTHERFORD",3697,3364,1899,10,59.4007803790413,7979,871,12,71,4,4
"82","SAMPSON",3514,2299,648,8,60.0258154274231,3840,2475,69,51,7,6
"83","SCOTLAND",3978,709,1137,4,57.1710706932052,2982,2557,166,80,10,13
"84","STANLY",2527,3782,1551,4,59.427009155646,7052,701,8,59,9,8
"85","STOKES",1290,2309,722,8,59.9276969276969,3999,257,5,31,10,5
"86","SURRY",3550,3806,1439,11,60.1022030433795,8277,394,4,78,15,6
"87","SWAIN",1170,617,507,4,59.6936466492602,2049,9,209,12,4,2
"88","TRANSYLVANIA",2495,2580,2249,9,63.290058639029,7020,207,6,47,12,10
"89","TYRRELL",337,66,115,0,61.4285714285714,405,101,1,4,2,3
"90","UNION",7687,12149,5940,50,56.412723611864,20764,4188,41,319,71,158
"91","VANCE",5772,939,840,6,58.2197962154294,3457,3944,7,78,14,12
"92","WAKE",49692,27618,24491,253,54.5196856566132,69130,26478,168,2343,489,1612
"93","WARREN",2403,277,286,1,59.958881024604,850,1974,89,33,9,3
"94","WASHINGTON",1524,207,286,0,60.5071888943976,1074,921,0,15,1,2
"95","WATAUGA",3271,2679,2540,52,52.448138609225,8205,101,11,83,43,30
"96","WAYNE",8936,6517,2429,21,59.0818857174775,11296,6089,24,247,55,63
"97","WILKES",1639,3183,948,9,61.8319778508392,5393,339,4,23,4,4
"98","WILSON",7214,2641,1613,8,58.5962879051934,5914,5360,10,89,18,11
"99","YADKIN",427,1416,423,1,59.9580943978827,2169,75,2,11,0,2
"100","YANCEY",1825,1706,840,6,57.218185972127,4292,23,6,34,7,9
