"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",387,263,141,2,61.6128625472888,709,74,1,2,0,0
"2","ALEXANDER",130,96,73,0,63.8327759197324,279,15,0,0,0,0
"3","ANSON",390,44,32,0,64.0643776824034,333,128,0,1,1,0
"4","AVERY",8,58,18,0,61.9642857142857,84,0,0,0,0,0
"5","BEAUFORT",249,103,90,0,64.8235294117647,335,103,1,1,0,0
"6","BERTIE",29,3,4,0,66.9166666666667,24,11,0,0,0,1
"7","BLADEN",451,26,93,0,60.119298245614,365,199,3,0,0,2
"8","BRUNSWICK",344,478,295,0,64.7269471799463,1021,80,0,8,1,1
"9","BUNCOMBE",3319,1285,1431,11,60.0061197485941,5677,162,6,91,17,14
"10","BURKE",826,527,300,0,60.9092558983666,1591,49,4,0,1,1
"11","CABARRUS",225,244,138,1,61.1743421052632,506,85,3,6,2,1
"12","CALDWELL",481,459,179,4,62.7203918076581,1053,58,0,1,2,3
"13","CARTERET",320,436,249,0,65.5482587064677,963,26,0,4,0,1
"14","CASWELL",32,4,7,0,61.953488372093,31,12,0,0,0,0
"15","CATAWBA",335,463,215,1,64.9339250493097,942,65,1,0,0,2
"16","CHATHAM",318,99,173,4,58.2895622895623,537,45,1,1,2,1
"17","CHOWAN",23,14,8,0,65.2,35,10,0,0,0,0
"18","CLEVELAND",1116,239,184,0,61.0844704353476,869,661,1,3,2,0
"19","COLUMBUS",184,41,32,0,64.2101167315175,197,57,0,0,0,0
"20","CRAVEN",35,83,43,2,53.441717791411,144,11,0,0,0,1
"21","CUMBERLAND",1430,493,417,5,52.9616204690832,1046,1173,11,21,27,9
"22","DARE",234,135,204,0,60.5689354275742,554,3,0,3,0,7
"23","DAVIDSON",626,358,207,1,63.9203020134228,840,336,2,4,4,1
"24","DAVIE",50,128,53,0,72.0562770562771,221,5,0,1,1,0
"25","DUPLIN",66,11,10,0,66.3908045977011,58,27,0,0,0,0
"26","DURHAM",3507,680,1074,14,57.2119431279621,3567,1457,2,107,28,43
"27","EDGECOMBE",130,3,2,0,57.1333333333333,3,130,0,2,0,0
"28","FORSYTH",94,121,63,0,55.8812949640288,240,23,0,7,1,2
"29","FRANKLIN",36,5,7,1,64,33,16,0,0,0,0
"30","GASTON",963,927,316,1,61.17263253285,1772,403,1,17,3,1
"31","GRANVILLE",662,105,108,2,64.0410490307868,609,252,2,4,4,1
"32","GREENE",480,43,70,0,57.7251264755481,241,346,0,0,1,0
"33","GUILFORD",3810,1696,845,3,61.727258419893,3985,2247,8,38,16,19
"34","HALIFAX",100,10,4,0,57.640350877193,33,81,0,0,0,0
"35","HARNETT",56,11,5,0,66.6388888888889,69,3,0,0,0,0
"36","HAYWOOD",258,66,79,1,64.5792079207921,397,4,0,1,0,0
"37","HENDERSON",73,181,136,0,69.1,374,3,0,6,0,1
"38","HERTFORD",94,9,9,0,60.7946428571429,44,65,2,0,0,1
"39","HOKE",60,6,6,0,66.8611111111111,61,9,0,0,0,0
"40","IREDELL",257,96,70,0,56.7659574468085,176,234,0,3,0,0
"41","JACKSON",88,16,17,0,62.1652892561983,117,3,0,0,0,0
"42","JOHNSTON",292,106,63,0,64.9110629067245,371,87,0,1,0,0
"43","JONES",16,0,6,0,65.6363636363636,20,2,0,0,0,0
"44","LEE",827,206,119,0,63.9045138888889,822,314,1,6,1,1
"45","LENOIR",1113,202,271,2,65.3400503778337,890,686,2,3,0,4
"46","LINCOLN",425,117,67,0,57.8177339901478,412,189,1,3,2,1
"47","MACON",12,12,6,0,67.7666666666667,29,1,0,0,0,0
"48","MARTIN",312,25,28,0,64.3041095890411,204,159,0,0,1,0
"49","MCDOWELL",120,49,28,0,62.238578680203,162,33,0,0,0,0
"50","MECKLENBURG",11271,4398,3168,15,57.3152981116062,9023,9225,31,266,52,72
"51","MONTGOMERY",235,95,97,0,58.0444964871194,339,73,0,2,0,0
"52","MOORE",244,682,390,1,69.4677296886864,1257,53,0,1,1,1
"53","NASH",132,20,17,0,64.0295857988166,125,42,0,1,0,0
"54","NEW HANOVER",1339,972,565,5,63.6619229434224,2413,408,1,20,5,7
"55","ONSLOW",159,163,90,3,58.0433734939759,299,84,2,12,4,2
"56","ORANGE",2732,625,1074,5,55.4125338142471,3799,303,4,46,24,157
"57","PAMLICO",43,57,26,0,66.1190476190476,112,9,0,3,0,0
"58","PASQUOTANK",199,15,45,0,57.6216216216216,76,178,0,2,2,0
"59","PENDER",179,92,68,0,61.8495575221239,289,38,1,7,1,1
"60","PERQUIMANS",177,30,19,0,57.7743362831858,109,117,0,0,0,0
"61","PITT",2451,761,431,3,59.0740537575425,2177,1406,3,14,5,7
"62","POLK",53,22,46,0,67.5537190082645,107,10,1,0,0,0
"63","RANDOLPH",184,238,105,0,63.3643263757116,504,17,0,5,0,0
"64","RICHMOND",404,71,45,0,62.2403846153846,442,72,1,1,0,0
"65","ROBESON",1165,64,154,1,47.7044797687861,197,756,395,12,3,2
"66","ROCKINGHAM",79,44,24,0,62.6190476190476,131,16,0,0,0,0
"67","ROWAN",468,399,213,0,61.5981481481481,834,222,4,7,3,1
"68","RUTHERFORD",324,143,77,0,66.3180147058823,465,73,1,4,0,0
"69","SAMPSON",23,20,5,0,58.6041666666667,42,6,0,0,0,0
"70","SCOTLAND",1003,121,169,1,60.8369397217929,721,532,15,10,0,6
